Date,0,1,2,3
1988-01-04,-0.008031179264071094,-0.01640823818872658,-0.021071943255266706,-0.010455436221043118
1988-01-05,-0.0030963820735990955,-0.007527557359125528,-0.006873987135292723,-0.001004829872041679
1988-01-06,-0.006890448761947668,-0.008615791076300375,-0.008077515464987785,-0.008385281010527372
1988-01-07,0.07097236578911444,0.03255158662415237,0.03327422165345907,0.07008244317468512
1988-01-08,-0.017539913901318285,0.006817835068977278,0.010716125704611999,-0.016664043870218824
1988-01-11,0.008560364858596592,0.012571288366863763,0.010584659116398422,0.00839917826007525
1988-01-12,0.001982762520155216,-0.002106250798748149,-0.0005772456596565347,-0.0015878487673040285
1988-01-13,0.004488606485335544,-0.004498432972181813,-0.003949287047822926,-0.00028476204252354044
1988-01-14,-0.0206402493054331,-0.017500057271969335,-0.0154005847914037,-0.024783860739060585
1988-01-15,-0.003974586002046694,-0.001175415630179255,-0.00306802179084755,0.0006746896303745508
1988-01-18,0.014112341218746943,0.0002937468207700972,-0.0031389569097397974,0.010215561688583674
1988-01-19,0.02998534245011584,0.019878956430614516,0.02177177999060444,0.02719957198202026
1988-01-20,-9.048620687513287e-05,-0.0017963345726701334,0.0010682846090828589,-0.0020997372819503185
1988-01-21,-0.012794836062571431,-0.009823023890083233,-0.00949195957957026,-0.013724586865385488
1988-01-22,-0.022307620084601278,-0.008553344788631205,-0.0072220006781116425,-0.02274146249965163
1988-01-25,0.013374762816481924,0.0038251856841095954,0.003482774383774993,0.010363989671138368
1988-01-26,0.004932482392718621,-0.0017672334082086396,-0.0009731794235388644,0.0007616091630103135
1988-01-27,-0.009840818017072822,-0.007622453128232622,-0.007590433817624669,-0.015557193694628713
1988-01-28,-0.014495134056201654,-0.006694882494413922,-0.00745345323714776,-0.014813398997405542
1988-01-29,0.006964152263464524,-0.004342169065851216,-0.0038253422379532676,0.007928080563193775
1988-02-01,-0.004253980813722421,-0.0028843399425307593,-0.0017484008070037889,-0.0020760041041366947
1988-02-02,0.014623172680227546,0.0101317985723773,0.004456518506307368,0.013234272945763547
1988-02-03,0.0005197316368038949,-0.002905289563995424,-0.0010363497529947796,0.0
1988-02-04,0.006828297456219325,-0.0031860290120345595,-0.0020693616752567585,0.004968509800300859
1988-02-05,0.007755811015004036,0.0037664474946339423,0.00406322121637457,0.0074391438647554205
1988-02-08,-0.009836879981371973,-0.0014503265776465246,-0.0020734875289266544,-0.010462916737776001
1988-02-09,-0.02454919007489231,-0.012386699834299488,-0.012981083161261993,-0.01943490257646295
1988-02-10,0.00025486927385226347,-0.00485510660020655,-0.006818437081753138,0.0027701651043096666
1988-02-11,-0.011012061409493396,-0.006531296347771865,-0.009174437771443104,-0.006542365049107396
1988-02-12,-0.011385759348521334,-0.003954876381024545,-0.0053258369952671036,-0.008503053302697676
1988-02-16,0.002485666481013473,-0.0016900724753491161,-0.002460460492586736,0.0023890083165532074
1988-02-17,0.007313046568768063,-0.0008440521337302251,-0.0026842003312623473,0.005027809961948373
1988-02-18,-0.01408667714483426,-0.004209350888555793,-0.005041938837011988,-0.014244088105076193
1988-02-19,-0.012676289977574445,-0.008088159757858255,-0.00864951848692173,-0.015287274657742064
1988-02-22,0.0005736339164699604,-0.0030509137358196133,-0.0011326148337442745,0.002336810434680221
1988-02-23,-0.0004069339712576267,-0.005523350043776664,-0.006768423885563334,0.002228715091180806
1988-02-24,0.011031483470985228,-0.0013760838599183715,-0.004412349484053792,0.010836425562774572
1988-02-25,-0.0027915493743924705,0.0005502399231847235,-0.0011932559136732172,-0.0033585441832750954
1988-02-26,-0.023645626743175753,-0.00985770888808468,-0.014282315548129212,-0.020216483503866255
1988-02-29,0.0005553459676298724,-0.0008170715365523965,-0.0011748305284437963,0.0022428466860560867
1988-03-01,-0.0003959999459929955,-0.008404566702727538,-0.008040436000985076,-0.00284009812837643
1988-03-02,0.00377290110986437,-0.004310367979296288,-0.002835227000359126,0.00037325458782174945
1988-03-03,0.002732059243187042,-0.0037563604886918503,-0.002247907558644357,0.002167559792494057
1988-03-04,0.0007243106088731764,-0.0029415881954357667,-0.007217121522707968,-0.0002993083397067776
1988-03-07,-0.0119398678892318,-0.006388081121823367,-0.009305077949110372,-0.00763770335016968
1988-03-08,0.003272923397116322,-0.008980498756690334,-0.00907806787104123,0.0013741951832817274
1988-03-09,0.023531066291460883,0.009245872530160147,0.008010001410750344,0.01959154905231088
1988-03-10,-0.004407753559107898,0.0034560391014383258,-0.0005692055198884805,-0.004160549539805496
1988-03-11,-0.007387991015029711,-0.0031906758989852986,-0.0017766412412728286,-0.005382906910349315
1988-03-14,0.0012983758245586295,0.00026551467323065396,-0.0007098169362465855,0.0009013718333287685
1988-03-15,-0.008225311047311454,-0.005032440447559251,-0.006858794431118816,-0.009424464907544481
1988-03-16,-0.010466643099365064,-0.0057956225756475325,-0.005481382400041694,-0.009520909704964298
1988-03-17,-0.0006374059199721055,-0.002361260115518105,-0.0002102153324860687,0.0003687948715728692
1988-03-18,0.009738999045103523,0.007892700672169444,0.005339302312460284,0.00881717618031065
1988-03-21,0.0004790325878056877,-0.0031645113410026693,-0.002743481528495976,-0.00037206037117167105
1988-03-22,-0.0007208834376295767,-0.0007896258153580281,-0.0050452155706268735,-0.0002603712677424195
1988-03-23,0.021396290599705877,0.011909628468711056,0.0115292289259697,0.020892795641776988
1988-03-24,0.022445141358804734,0.008287725764535155,0.007451777160428423,0.018549553409469226
1988-03-25,-0.0004143098664086225,0.005653551525764008,0.008369433456281924,0.0017423091332844152
